 Sample #,Start Time,Thread Name,Label,Sample Time (ms),Status,Bytes,Sent Bytes,Latency,Connect Time (ms)
55,51:52.0,Thread Group 1-11,HTTP Request,534,Success,19902,116,490,83
56,51:52.0,Thread Group 1-12,HTTP Request,498,Success,19902,116,454,90
57,51:52.5,Thread Group 1-13,HTTP Request,170,Success,19906,116,138,90
58,51:52.5,Thread Group 1-11,HTTP Request,153,Success,19906,116,123,74
59,51:52.5,Thread Group 1-12,HTTP Request,155,Success,19906,116,129,87
60,51:52.7,Thread Group 1-12,HTTP Request,152,Success,19906,116,126,82
61,51:52.6,Thread Group 1-13,HTTP Request,394,Success,19902,116,359,93
62,51:52.8,Thread Group 1-12,HTTP Request,199,Success,19906,116,163,108
63,51:53.0,Thread Group 1-13,HTTP Request,199,Success,19906,116,163,96
64,51:53.1,Thread Group 1-14,HTTP Request,196,Success,19902,116,159,103
65,51:53.2,Thread Group 1-13,HTTP Request,181,Success,19902,116,152,103
66,51:53.3,Thread Group 1-14,HTTP Request,187,Success,19906,116,158,96
67,51:53.4,Thread Group 1-13,HTTP Request,133,Success,19902,116,133,80
68,51:53.4,Thread Group 1-14,HTTP Request,383,Success,19902,116,351,92
69,51:53.7,Thread Group 1-15,HTTP Request,211,Success,19902,116,170,118
70,51:53.8,Thread Group 1-14,HTTP Request,188,Success,19902,116,148,93
71,51:53.9,Thread Group 1-15,HTTP Request,172,Success,19906,116,144,99
72,51:54.0,Thread Group 1-14,HTTP Request,329,Success,19902,116,305,89
73,51:54.0,Thread Group 1-15,HTTP Request,422,Success,19902,116,302,268
74,51:54.3,Thread Group 1-16,HTTP Request,286,Success,19902,116,209,143
75,51:54.5,Thread Group 1-15,HTTP Request,194,Success,19902,116,152,102
76,51:54.5,Thread Group 1-16,HTTP Request,178,Success,19902,116,146,91
77,51:54.7,Thread Group 1-15,HTTP Request,180,Success,19902,116,149,102
78,51:54.9,Thread Group 1-17,HTTP Request,243,Success,19902,116,159,104
79,51:54.7,Thread Group 1-16,HTTP Request,407,Success,19906,116,377,87
80,51:55.1,Thread Group 1-17,HTTP Request,191,Success,19902,116,143,89
81,51:55.1,Thread Group 1-16,HTTP Request,191,Success,19902,116,154,99
